,Survived,Pclass,Sex,Age,SibSp,Parch,Embarked
447,1,1,0,34.0,0,0,S
448,1,3,1,5.0,2,1,C
449,1,1,0,52.0,0,0,S
450,0,2,0,36.0,1,2,S
451,0,3,0,,1,0,S
452,0,1,0,30.0,0,0,C
453,1,1,0,49.0,1,0,C
454,0,3,0,,0,0,S
455,1,3,0,29.0,0,0,C
456,0,1,0,65.0,0,0,S
457,1,1,1,,1,0,S
458,1,2,1,50.0,0,0,S
459,0,3,0,,0,0,Q
460,1,1,0,48.0,0,0,S
461,0,3,0,34.0,0,0,S
462,0,1,0,47.0,0,0,S
463,0,2,0,48.0,0,0,S
464,0,3,0,,0,0,S
465,0,3,0,38.0,0,0,S
466,0,2,0,,0,0,S
467,0,1,0,56.0,0,0,S
468,0,3,0,,0,0,Q
469,1,3,1,0.75,2,1,C
470,0,3,0,,0,0,S
471,0,3,0,38.0,0,0,S
472,1,2,1,33.0,1,2,S
473,1,2,1,23.0,0,0,C
474,0,3,1,22.0,0,0,S
475,0,1,0,,0,0,S
476,0,2,0,34.0,1,0,S
477,0,3,0,29.0,1,0,S
478,0,3,0,22.0,0,0,S
479,1,3,1,2.0,0,1,S
480,0,3,0,9.0,5,2,S
481,0,2,0,,0,0,S
482,0,3,0,50.0,0,0,S
483,1,3,1,63.0,0,0,S
484,1,1,0,25.0,1,0,C
485,0,3,1,,3,1,S
486,1,1,1,35.0,1,0,S
487,0,1,0,58.0,0,0,C
488,0,3,0,30.0,0,0,S
489,1,3,0,9.0,1,1,S
490,0,3,0,,1,0,S
491,0,3,0,21.0,0,0,S
492,0,1,0,55.0,0,0,S
493,0,1,0,71.0,0,0,C
494,0,3,0,21.0,0,0,S
495,0,3,0,,0,0,C
496,1,1,1,54.0,1,0,C
497,0,3,0,,0,0,S
498,0,1,1,25.0,1,2,S
499,0,3,0,24.0,0,0,S
500,0,3,0,17.0,0,0,S
501,0,3,1,21.0,0,0,Q
502,0,3,1,,0,0,Q
503,0,3,1,37.0,0,0,S
504,1,1,1,16.0,0,0,S
505,0,1,0,18.0,1,0,C
506,1,2,1,33.0,0,2,S
507,1,1,0,,0,0,S
508,0,3,0,28.0,0,0,S
509,1,3,0,26.0,0,0,S
510,1,3,0,29.0,0,0,Q
511,0,3,0,,0,0,S
512,1,1,0,36.0,0,0,S
513,1,1,1,54.0,1,0,C
514,0,3,0,24.0,0,0,S
515,0,1,0,47.0,0,0,S
516,1,2,1,34.0,0,0,S
517,0,3,0,,0,0,Q
518,1,2,1,36.0,1,0,S
519,0,3,0,32.0,0,0,S
520,1,1,1,30.0,0,0,S
521,0,3,0,22.0,0,0,S
522,0,3,0,,0,0,C
523,1,1,1,44.0,0,1,C
524,0,3,0,,0,0,C
525,0,3,0,40.5,0,0,Q
526,1,2,1,50.0,0,0,S
527,0,1,0,,0,0,S
528,0,3,0,39.0,0,0,S
529,0,2,0,23.0,2,1,S
530,1,2,1,2.0,1,1,S
531,0,3,0,,0,0,C
532,0,3,0,17.0,1,1,C
533,1,3,1,,0,2,C
534,0,3,1,30.0,0,0,S
535,1,2,1,7.0,0,2,S
536,0,1,0,45.0,0,0,S
537,1,1,1,30.0,0,0,C
538,0,3,0,,0,0,S
539,1,1,1,22.0,0,2,C
540,1,1,1,36.0,0,2,S
541,0,3,1,9.0,4,2,S
542,0,3,1,11.0,4,2,S
543,1,2,0,32.0,1,0,S
544,0,1,0,50.0,1,0,C
545,0,1,0,64.0,0,0,S
546,1,2,1,19.0,1,0,S
547,1,2,0,,0,0,C
548,0,3,0,33.0,1,1,S
549,1,2,0,8.0,1,1,S
550,1,1,0,17.0,0,2,C
551,0,2,0,27.0,0,0,S
552,0,3,0,,0,0,Q
553,1,3,0,22.0,0,0,C
554,1,3,1,22.0,0,0,S
555,0,1,0,62.0,0,0,S
556,1,1,1,48.0,1,0,C
557,0,1,0,,0,0,C
558,1,1,1,39.0,1,1,S
559,1,3,1,36.0,1,0,S
560,0,3,0,,0,0,Q
561,0,3,0,40.0,0,0,S
562,0,2,0,28.0,0,0,S
563,0,3,0,,0,0,S
564,0,3,1,,0,0,S
565,0,3,0,24.0,2,0,S
566,0,3,0,19.0,0,0,S
567,0,3,1,29.0,0,4,S
568,0,3,0,,0,0,C
569,1,3,0,32.0,0,0,S
570,1,2,0,62.0,0,0,S
571,1,1,1,53.0,2,0,S
572,1,1,0,36.0,0,0,S
573,1,3,1,,0,0,Q
574,0,3,0,16.0,0,0,S
575,0,3,0,19.0,0,0,S
576,1,2,1,34.0,0,0,S
577,1,1,1,39.0,1,0,S
578,0,3,1,,1,0,C
579,1,3,0,32.0,0,0,S
580,1,2,1,25.0,1,1,S
581,1,1,1,39.0,1,1,C
582,0,2,0,54.0,0,0,S
583,0,1,0,36.0,0,0,C
584,0,3,0,,0,0,C
585,1,1,1,18.0,0,2,S
586,0,2,0,47.0,0,0,S
587,1,1,0,60.0,1,1,C
588,0,3,0,22.0,0,0,S
589,0,3,0,,0,0,S
590,0,3,0,35.0,0,0,S
591,1,1,1,52.0,1,0,C
592,0,3,0,47.0,0,0,S
593,0,3,1,,0,2,Q
594,0,2,0,37.0,1,0,S
595,0,3,0,36.0,1,1,S
596,1,2,1,,0,0,S
597,0,3,0,49.0,0,0,S
598,0,3,0,,0,0,C
599,1,1,0,49.0,1,0,C
600,1,2,1,24.0,2,1,S
601,0,3,0,,0,0,S
602,0,1,0,,0,0,S
603,0,3,0,44.0,0,0,S
604,1,1,0,35.0,0,0,C
605,0,3,0,36.0,1,0,S
606,0,3,0,30.0,0,0,S
607,1,1,0,27.0,0,0,S
608,1,2,1,22.0,1,2,C
609,1,1,1,40.0,0,0,S
610,0,3,1,39.0,1,5,S
611,0,3,0,,0,0,S
612,1,3,1,,1,0,Q
613,0,3,0,,0,0,Q
614,0,3,0,35.0,0,0,S
615,1,2,1,24.0,1,2,S
616,0,3,0,34.0,1,1,S
617,0,3,1,26.0,1,0,S
618,1,2,1,4.0,2,1,S
619,0,2,0,26.0,0,0,S
620,0,3,0,27.0,1,0,C
621,1,1,0,42.0,1,0,S
622,1,3,0,20.0,1,1,C
623,0,3,0,21.0,0,0,S
624,0,3,0,21.0,0,0,S
625,0,1,0,61.0,0,0,S
626,0,2,0,57.0,0,0,Q
627,1,1,1,21.0,0,0,S
628,0,3,0,26.0,0,0,S
629,0,3,0,,0,0,Q
630,1,1,0,80.0,0,0,S
631,0,3,0,51.0,0,0,S
632,1,1,0,32.0,0,0,C
633,0,1,0,,0,0,S
634,0,3,1,9.0,3,2,S
635,1,2,1,28.0,0,0,S
636,0,3,0,32.0,0,0,S
637,0,2,0,31.0,1,1,S
638,0,3,1,41.0,0,5,S
639,0,3,0,,1,0,S
640,0,3,0,20.0,0,0,S
641,1,1,1,24.0,0,0,C
642,0,3,1,2.0,3,2,S
643,1,3,0,,0,0,S
644,1,3,1,0.75,2,1,C
645,1,1,0,48.0,1,0,C
646,0,3,0,19.0,0,0,S
647,1,1,0,56.0,0,0,C
648,0,3,0,,0,0,S
649,1,3,1,23.0,0,0,S
650,0,3,0,,0,0,S
651,1,2,1,18.0,0,1,S
652,0,3,0,21.0,0,0,S
653,1,3,1,,0,0,Q
654,0,3,1,18.0,0,0,Q
655,0,2,0,24.0,2,0,S
656,0,3,0,,0,0,S
657,0,3,1,32.0,1,1,Q
658,0,2,0,23.0,0,0,S
659,0,1,0,58.0,0,2,C
660,1,1,0,50.0,2,0,S
661,0,3,0,40.0,0,0,C
662,0,1,0,47.0,0,0,S
663,0,3,0,36.0,0,0,S
664,1,3,0,20.0,1,0,S
665,0,2,0,32.0,2,0,S
666,0,2,0,25.0,0,0,S
667,0,3,0,,0,0,S
668,0,3,0,43.0,0,0,S
669,1,1,1,,1,0,S
670,1,2,1,40.0,1,1,S
671,0,1,0,31.0,1,0,S
672,0,2,0,70.0,0,0,S
673,1,2,0,31.0,0,0,S
674,0,2,0,,0,0,S
675,0,3,0,18.0,0,0,S
676,0,3,0,24.5,0,0,S
677,1,3,1,18.0,0,0,S
678,0,3,1,43.0,1,6,S
679,1,1,0,36.0,0,1,C
680,0,3,1,,0,0,Q
681,1,1,0,27.0,0,0,C
682,0,3,0,20.0,0,0,S
683,0,3,0,14.0,5,2,S
684,0,2,0,60.0,1,1,S
685,0,2,0,25.0,1,2,C
686,0,3,0,14.0,4,1,S
687,0,3,0,19.0,0,0,S
688,0,3,0,18.0,0,0,S
689,1,1,1,15.0,0,1,S
690,1,1,0,31.0,1,0,S
691,1,3,1,4.0,0,1,C
692,1,3,0,,0,0,S
693,0,3,0,25.0,0,0,C
694,0,1,0,60.0,0,0,S
695,0,2,0,52.0,0,0,S
696,0,3,0,44.0,0,0,S
697,1,3,1,,0,0,Q
698,0,1,0,49.0,1,1,C
699,0,3,0,42.0,0,0,S
700,1,1,1,18.0,1,0,C
701,1,1,0,35.0,0,0,S
702,0,3,1,18.0,0,1,C
703,0,3,0,25.0,0,0,Q
704,0,3,0,26.0,1,0,S
705,0,2,0,39.0,0,0,S
706,1,2,1,45.0,0,0,S
707,1,1,0,42.0,0,0,S
708,1,1,1,22.0,0,0,S
709,1,3,0,,1,1,C
710,1,1,1,24.0,0,0,C
711,0,1,0,,0,0,S
712,1,1,0,48.0,1,0,S
713,0,3,0,29.0,0,0,S
714,0,2,0,52.0,0,0,S
715,0,3,0,19.0,0,0,S
716,1,1,1,38.0,0,0,C
717,1,2,1,27.0,0,0,S
718,0,3,0,,0,0,Q
719,0,3,0,33.0,0,0,S
720,1,2,1,6.0,0,1,S
721,0,3,0,17.0,1,0,S
722,0,2,0,34.0,0,0,S
723,0,2,0,50.0,0,0,S
724,1,1,0,27.0,1,0,S
725,0,3,0,20.0,0,0,S
726,1,2,1,30.0,3,0,S
727,1,3,1,,0,0,Q
728,0,2,0,25.0,1,0,S
729,0,3,1,25.0,1,0,S
730,1,1,1,29.0,0,0,S
731,0,3,0,11.0,0,0,C
732,0,2,0,,0,0,S
733,0,2,0,23.0,0,0,S
734,0,2,0,23.0,0,0,S
735,0,3,0,28.5,0,0,S
736,0,3,1,48.0,1,3,S
737,1,1,0,35.0,0,0,C
738,0,3,0,,0,0,S
739,0,3,0,,0,0,S
740,1,1,0,,0,0,S
741,0,1,0,36.0,1,0,S
742,1,1,1,21.0,2,2,C
743,0,3,0,24.0,1,0,S
744,1,3,0,31.0,0,0,S
745,0,1,0,70.0,1,1,S
746,0,3,0,16.0,1,1,S
747,1,2,1,30.0,0,0,S
748,0,1,0,19.0,1,0,S
749,0,3,0,31.0,0,0,Q
750,1,2,1,4.0,1,1,S
751,1,3,0,6.0,0,1,S
752,0,3,0,33.0,0,0,S
753,0,3,0,23.0,0,0,S
754,1,2,1,48.0,1,2,S
755,1,2,0,0.67,1,1,S
756,0,3,0,28.0,0,0,S
757,0,2,0,18.0,0,0,S
758,0,3,0,34.0,0,0,S
759,1,1,1,33.0,0,0,S
760,0,3,0,,0,0,S
761,0,3,0,41.0,0,0,S
762,1,3,0,20.0,0,0,C
763,1,1,1,36.0,1,2,S
764,0,3,0,16.0,0,0,S
765,1,1,1,51.0,1,0,S
766,0,1,0,,0,0,C
767,0,3,1,30.5,0,0,Q
768,0,3,0,,1,0,Q
769,0,3,0,32.0,0,0,S
770,0,3,0,24.0,0,0,S
771,0,3,0,48.0,0,0,S
772,0,2,1,57.0,0,0,S
773,0,3,0,,0,0,C
774,1,2,1,54.0,1,3,S
775,0,3,0,18.0,0,0,S
776,0,3,0,,0,0,Q
777,1,3,1,5.0,0,0,S
778,0,3,0,,0,0,Q
779,1,1,1,43.0,0,1,S
780,1,3,1,13.0,0,0,C
781,1,1,1,17.0,1,0,S
782,0,1,0,29.0,0,0,S
783,0,3,0,,1,2,S
784,0,3,0,25.0,0,0,S
785,0,3,0,25.0,0,0,S
786,1,3,1,18.0,0,0,S
787,0,3,0,8.0,4,1,Q
788,1,3,0,1.0,1,2,S
789,0,1,0,46.0,0,0,C
790,0,3,0,,0,0,Q
791,0,2,0,16.0,0,0,S
792,0,3,1,,8,2,S
793,0,1,0,,0,0,C
794,0,3,0,25.0,0,0,S
795,0,2,0,39.0,0,0,S
796,1,1,1,49.0,0,0,S
797,1,3,1,31.0,0,0,S
798,0,3,0,30.0,0,0,C
799,0,3,1,30.0,1,1,S
800,0,2,0,34.0,0,0,S
801,1,2,1,31.0,1,1,S
802,1,1,0,11.0,1,2,S
803,1,3,0,0.42,0,1,C
804,1,3,0,27.0,0,0,S
805,0,3,0,31.0,0,0,S
806,0,1,0,39.0,0,0,S
807,0,3,1,18.0,0,0,S
808,0,2,0,39.0,0,0,S
809,1,1,1,33.0,1,0,S
810,0,3,0,26.0,0,0,S
811,0,3,0,39.0,0,0,S
812,0,2,0,35.0,0,0,S
813,0,3,1,6.0,4,2,S
814,0,3,0,30.5,0,0,S
815,0,1,0,,0,0,S
816,0,3,1,23.0,0,0,S
817,0,2,0,31.0,1,1,C
818,0,3,0,43.0,0,0,S
819,0,3,0,10.0,3,2,S
820,1,1,1,52.0,1,1,S
821,1,3,0,27.0,0,0,S
822,0,1,0,38.0,0,0,S
823,1,3,1,27.0,0,1,S
824,0,3,0,2.0,4,1,S
825,0,3,0,,0,0,Q
826,0,3,0,,0,0,S
827,1,2,0,1.0,0,2,C
828,1,3,0,,0,0,Q
829,1,1,1,62.0,0,0,
830,1,3,1,15.0,1,0,C
831,1,2,0,0.83,1,1,S
832,0,3,0,,0,0,C
833,0,3,0,23.0,0,0,S
834,0,3,0,18.0,0,0,S
835,1,1,1,39.0,1,1,C
836,0,3,0,21.0,0,0,S
837,0,3,0,,0,0,S
838,1,3,0,32.0,0,0,S
839,1,1,0,,0,0,C
840,0,3,0,20.0,0,0,S
841,0,2,0,16.0,0,0,S
842,1,1,1,30.0,0,0,C
843,0,3,0,34.5,0,0,C
844,0,3,0,17.0,0,0,S
845,0,3,0,42.0,0,0,S
846,0,3,0,,8,2,S
847,0,3,0,35.0,0,0,C
848,0,2,0,28.0,0,1,S
849,1,1,1,,1,0,C
850,0,3,0,4.0,4,2,S
851,0,3,0,74.0,0,0,S
852,0,3,1,9.0,1,1,C
853,1,1,1,16.0,0,1,S
854,0,2,1,44.0,1,0,S
855,1,3,1,18.0,0,1,S
856,1,1,1,45.0,1,1,S
857,1,1,0,51.0,0,0,S
858,1,3,1,24.0,0,3,C
859,0,3,0,,0,0,C
860,0,3,0,41.0,2,0,S
861,0,2,0,21.0,1,0,S
862,1,1,1,48.0,0,0,S
863,0,3,1,,8,2,S
864,0,2,0,24.0,0,0,S
865,1,2,1,42.0,0,0,S
866,1,2,1,27.0,1,0,C
867,0,1,0,31.0,0,0,S
868,0,3,0,,0,0,S
869,1,3,0,4.0,1,1,S
870,0,3,0,26.0,0,0,S
871,1,1,1,47.0,1,1,S
872,0,1,0,33.0,0,0,S
873,0,3,0,47.0,0,0,S
874,1,2,1,28.0,1,0,C
875,1,3,1,15.0,0,0,C
876,0,3,0,20.0,0,0,S
877,0,3,0,19.0,0,0,S
878,0,3,0,,0,0,S
879,1,1,1,56.0,0,1,C
880,1,2,1,25.0,0,1,S
881,0,3,0,33.0,0,0,S
882,0,3,1,22.0,0,0,S
883,0,2,0,28.0,0,0,S
884,0,3,0,25.0,0,0,S
885,0,3,1,39.0,0,5,Q
886,0,2,0,27.0,0,0,S
887,1,1,1,19.0,0,0,S
888,0,3,1,,1,2,S
889,1,1,0,26.0,0,0,C
890,0,3,0,32.0,0,0,Q
